epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,451.573,0.44824,0.34865,0.96833,0.9795,0.94643,0.96129,0.87244,0.35286,0.25983,0.89796,0.00173864,0.00173864,0.00173864
134,455.075,0.44048,0.34629,0.98901,0.97937,0.96429,0.96761,0.88314,0.35624,0.24639,0.88781,0.00173666,0.00173666,0.00173666
135,458.352,0.45712,0.35944,1.00403,0.97838,0.92857,0.95358,0.86211,0.39488,0.30373,0.91785,0.00173468,0.00173468,0.00173468
136,461.722,0.41482,0.33899,0.97756,0.9269,0.92857,0.94586,0.84548,0.36738,0.29146,0.9054,0.0017327,0.0017327,0.0017327
137,465.088,0.4475,0.35662,0.97937,0.96501,0.89286,0.95811,0.86895,0.3712,0.30069,0.9095,0.00173072,0.00173072,0.00173072
138,468.467,0.46698,0.37534,0.98567,0.98178,0.96218,0.96905,0.91018,0.35887,0.22863,0.89689,0.00172874,0.00172874,0.00172874
139,471.855,0.44988,0.34698,0.98092,0.97643,0.96429,0.96542,0.8823,0.36856,0.24971,0.90431,0.00172676,0.00172676,0.00172676
140,475.242,0.45647,0.34371,1.01316,0.97428,0.96429,0.96654,0.88232,0.38284,0.25059,0.91285,0.00172478,0.00172478,0.00172478
141,478.659,0.44195,0.34694,0.99526,0.94722,0.96142,0.9644,0.87942,0.4021,0.30515,0.91422,0.0017228,0.0017228,0.0017228
142,482.028,0.42351,0.31966,0.97588,0.98026,0.94643,0.96415,0.88516,0.36195,0.29558,0.89977,0.00172082,0.00172082,0.00172082
143,485.464,0.42726,0.33727,0.98585,0.97889,0.91071,0.96262,0.87353,0.36361,0.30997,0.88552,0.00171884,0.00171884,0.00171884
144,488.832,0.42741,0.3402,0.98513,0.96422,0.96237,0.96793,0.87848,0.39346,0.28865,0.92178,0.00171686,0.00171686,0.00171686
145,492.136,0.4151,0.328,0.96449,0.98073,0.94643,0.97013,0.8657,0.39709,0.30968,0.9386,0.00171488,0.00171488,0.00171488
146,495.512,0.46857,0.3681,0.97907,0.99418,0.94643,0.96867,0.86997,0.39095,0.27978,0.93983,0.0017129,0.0017129,0.0017129
147,498.94,0.4435,0.34308,0.9687,0.98144,0.94408,0.96436,0.87852,0.40339,0.2766,0.93359,0.00171092,0.00171092,0.00171092
148,502.288,0.42996,0.33351,0.97783,0.97495,0.92857,0.96419,0.88089,0.35573,0.29273,0.90536,0.00170894,0.00170894,0.00170894
149,505.704,0.44045,0.34496,0.95839,0.98295,0.85714,0.95375,0.85829,0.34929,0.40146,0.89874,0.00170696,0.00170696,0.00170696
150,509.064,0.41759,0.33565,0.9688,0.86468,0.96429,0.94636,0.83749,0.38916,0.32517,0.91413,0.00170498,0.00170498,0.00170498
151,512.406,0.40921,0.32976,0.97415,0.94347,0.92857,0.96105,0.88701,0.37247,0.30711,0.90728,0.001703,0.001703,0.001703
152,515.712,0.44456,0.33651,0.9769,0.9984,0.92857,0.95689,0.87585,0.39768,0.278,0.91816,0.00170102,0.00170102,0.00170102
153,519.095,0.43681,0.34303,0.97428,0.99324,0.92857,0.95272,0.88867,0.36948,0.28676,0.89352,0.00169904,0.00169904,0.00169904
154,522.444,0.45652,0.35568,0.99391,1,0.9225,0.96047,0.89389,0.35077,0.32642,0.89521,0.00169706,0.00169706,0.00169706
155,525.82,0.42566,0.34368,0.96114,0.96191,0.91071,0.95493,0.8897,0.3155,0.37735,0.86784,0.00169508,0.00169508,0.00169508
156,529.22,0.41199,0.33442,0.96937,0.9603,0.92857,0.96139,0.90012,0.33306,0.30269,0.869,0.0016931,0.0016931,0.0016931
157,532.543,0.41218,0.33583,0.95722,0.96354,0.94399,0.95977,0.88488,0.35351,0.33999,0.88294,0.00169112,0.00169112,0.00169112
158,535.977,0.41627,0.33269,0.97747,0.97721,0.91071,0.95469,0.85697,0.38127,0.33738,0.89672,0.00168914,0.00168914,0.00168914
159,539.344,0.44505,0.35181,0.97907,0.94388,0.94643,0.96053,0.89139,0.35117,0.35134,0.88223,0.00168716,0.00168716,0.00168716
160,542.686,0.42163,0.3308,0.98244,0.94793,0.94643,0.95999,0.88888,0.34381,0.35674,0.89737,0.00168518,0.00168518,0.00168518
161,545.923,0.41916,0.32733,0.98056,0.94735,0.96396,0.9663,0.91273,0.32729,0.29,0.88726,0.0016832,0.0016832,0.0016832
162,549.339,0.442,0.35309,0.98402,0.94395,0.90236,0.95629,0.89879,0.3314,0.32498,0.87452,0.00168122,0.00168122,0.00168122
163,552.733,0.42792,0.33514,0.96215,0.88552,0.89286,0.92994,0.8578,0.36475,0.50678,0.89436,0.00167924,0.00167924,0.00167924
164,556.133,0.43963,0.34656,1.00675,0.9262,0.94643,0.96089,0.87122,0.37301,0.33001,0.89999,0.00167726,0.00167726,0.00167726
165,559.501,0.39636,0.31867,0.96932,0.98144,0.94433,0.96531,0.8802,0.37602,0.28062,0.89668,0.00167528,0.00167528,0.00167528
166,562.819,0.42348,0.33273,0.97285,0.97119,0.92857,0.95103,0.88311,0.37739,0.31843,0.89869,0.0016733,0.0016733,0.0016733
167,566.145,0.41045,0.32423,0.95228,0.96877,0.92857,0.95505,0.88037,0.34499,0.30545,0.88725,0.00167132,0.00167132,0.00167132
168,569.457,0.44459,0.33666,0.97702,0.9626,0.91923,0.96064,0.88846,0.32353,0.29304,0.87997,0.00166934,0.00166934,0.00166934
169,572.695,0.40263,0.31548,0.97036,0.98065,0.90529,0.96252,0.89254,0.32293,0.2823,0.8779,0.00166736,0.00166736,0.00166736
170,576.241,0.40343,0.31141,0.9431,0.92954,0.94235,0.96035,0.88894,0.35206,0.31085,0.87843,0.00166538,0.00166538,0.00166538
171,579.665,0.40013,0.32027,0.96718,0.96354,0.96429,0.96857,0.86649,0.39454,0.27032,0.88821,0.0016634,0.0016634,0.0016634
172,583.099,0.44322,0.32804,0.97757,0.96269,0.96429,0.96947,0.89963,0.36729,0.26837,0.88234,0.00166142,0.00166142,0.00166142
173,586.36,0.41675,0.32201,0.99365,0.94723,0.96173,0.96707,0.88158,0.38163,0.27623,0.90355,0.00165944,0.00165944,0.00165944
174,589.705,0.41171,0.33158,0.95861,0.99523,0.91071,0.96548,0.87905,0.38014,0.2809,0.90064,0.00165746,0.00165746,0.00165746
175,593.083,0.44227,0.32803,0.98722,0.96351,0.943,0.96507,0.87602,0.3729,0.29404,0.8868,0.00165548,0.00165548,0.00165548
176,596.437,0.41397,0.31887,0.9599,0.96362,0.94594,0.96406,0.8826,0.35079,0.29226,0.88251,0.0016535,0.0016535,0.0016535
177,599.728,0.40795,0.30975,0.96603,0.98045,0.89583,0.956,0.87755,0.33923,0.45044,0.86932,0.00165152,0.00165152,0.00165152
178,603.152,0.42348,0.33213,0.97382,0.98063,0.875,0.96017,0.89296,0.32754,0.32557,0.85847,0.00164954,0.00164954,0.00164954
179,606.493,0.4261,0.32665,0.97215,0.97726,0.92857,0.96425,0.90499,0.32635,0.25988,0.86424,0.00164756,0.00164756,0.00164756
180,609.988,0.39841,0.31404,0.94585,0.99872,0.92857,0.96154,0.88766,0.37596,0.2592,0.88234,0.00164558,0.00164558,0.00164558
181,613.298,0.39419,0.30981,0.93847,1,0.92598,0.9625,0.89194,0.35102,0.27192,0.88475,0.0016436,0.0016436,0.0016436
